All Equal,Two Opposing,Porisitive Dominant,Negative Dominant,50% Moderates,75% Moderates,90% Moderates
19,17,10,2,44,5,2
69,84,17,7,25,5,2
65,55,2,2,69,10,4
35,57,7,6,36,8,3
71,76,2,2,21,14,5
72,13,2,4,47,4,4
51,46,4,4,52,16,2
54,61,8,2,52,14,3
71,34,27,2,66,4,2
86,73,5,6,65,2,2
53,62,10,2,45,5,2
50,50,2,5,52,3,6
33,71,14,2,55,14,2
67,66,2,14,10,20,3
75,6,7,7,25,9,2
53,69,13,2,45,25,8
82,66,2,2,71,20,2
69,68,2,11,33,16,2
54,76,5,4,54,2,2
71,11,6,4,52,21,4
60,60,2,2,20,28,6
67,76,8,7,20,20,4
52,71,10,2,36,25,2
67,67,2,2,33,7,3
51,50,6,4,58,2,2
20,70,6,6,20,10,6
59,54,20,14,69,3,2
72,46,4,28,60,4,6
54,48,4,2,32,19,2
54,71,2,7,6,18,2
54,74,7,6,20,16,4
71,68,4,2,28,19,2
73,49,4,5,48,4,3
38,67,9,5,28,11,6
56,57,3,3,20,3,6
24,76,3,2,35,8,2
67,64,5,4,30,7,4
31,18,4,2,25,25,2
69,64,2,14,35,2,2
59,11,2,11,56,4,2
53,77,4,2,43,9,3
4,56,2,3,31,8,3
17,21,2,3,57,24,2
57,22,4,23,32,23,6
62,70,5,13,45,2,4
52,66,4,7,74,16,2
4,41,2,5,56,2,2
53,58,15,3,42,7,2
56,84,2,2,62,3,2
20,66,3,7,20,17,2
52,30,5,13,40,5,2
53,63,7,15,44,2,6
26,19,2,2,20,20,3
70,69,6,5,63,13,6
71,51,3,12,27,13,6
54,70,4,9,29,11,2
52,67,7,15,50,4,2
54,88,2,4,48,10,4
49,60,2,2,36,4,2
18,68,2,2,40,7,4
23,11,4,4,55,16,2
57,65,8,5,18,2,3
75,62,8,6,35,7,3
30,53,4,5,34,5,2
65,25,14,2,29,13,2
45,83,4,2,27,21,5
39,80,2,2,33,14,2
57,67,2,9,36,16,6
64,65,6,11,50,9,4
70,74,2,2,25,4,2
54,56,6,8,20,4,2
86,46,4,11,24,4,2
70,36,2,2,58,3,2
51,69,2,8,55,21,2
70,84,5,3,32,16,2
52,62,4,11,32,4,3
83,72,22,2,32,18,2
32,50,6,4,25,7,4
66,37,2,4,31,4,2
36,69,2,4,29,9,2
60,69,2,2,62,14,3
26,69,4,3,25,19,2
73,53,5,2,31,4,2
14,7,7,2,50,19,4
63,68,3,2,60,7,4
11,61,2,5,47,26,5
27,64,4,5,28,14,2
72,69,3,2,58,6,6
53,72,11,7,43,24,2
66,68,18,4,31,20,2
55,70,2,2,31,24,2
53,62,4,4,25,4,2
67,64,8,7,25,4,2
33,69,2,6,57,7,2
48,54,2,6,20,21,2
71,54,7,2,49,3,2
54,58,5,2,52,16,5
69,38,2,2,41,2,2
14,71,2,2,70,16,4
13,48,32,2,20,16,2
74,59,2,2,25,2,2
62,71,2,4,55,16,2
15,71,4,2,11,11,2
79,83,34,4,56,7,2
44,60,5,2,35,3,2
81,84,5,9,50,3,2
69,79,2,2,25,4,2
17,21,3,3,29,13,6
38,84,13,2,16,5,2
69,86,11,18,52,24,2
21,65,4,4,50,15,3
66,78,2,6,66,10,4
16,64,2,2,41,6,2
62,65,3,2,50,18,2
45,47,4,9,6,21,3
62,66,2,2,16,17,2
34,23,2,2,37,2,2
55,71,5,6,39,8,2
67,67,3,4,16,4,4
79,67,2,3,32,2,2
22,76,10,12,50,3,2
